Date,Price,Open,High,Low,Vol,Growth,AVBLS,CPTRA,HRATE,MIREV,MWNTD,MWNUS,MWTRV,TOTBC,Btc_Mined,TRFEE,TRVOU
2021-04-19,55646.1,56208.1,57517.0,54272.3,117510.0,-0.01,1.3054006494845365,223.88318308539746,113709865.62864962,47180246.47068432,57830.0,71716503.0,25084.709337679862,18686406.25,681.25,215.81663228,1795641744.0864
2021-04-18,56207.1,60043.2,60362.1,51817.6,216810.0,-0.0639,1.2941819596774196,205.5984325019473,145361065.33971703,57721965.5233542,47430.0,71667351.0,32091.46139086983,18685731.25,675.0,214.730004,444839749.0425
2021-04-17,60041.9,61358.3,62509.1,59672.1,84080.0,-0.0218,1.3556591758241758,231.41169486401347,106676265.69285686,45028087.58663974,56549.0,71626566.0,36564.41476831007,18684900.0,831.25,163.57372065,905029645.7906
2021-04-16,61379.7,63211.6,63518.5,60027.3,136850.0,-0.028999999999999998,1.3172985533980583,220.09980939815966,120743465.5644424,48356808.52401327,72418.0,71562677.0,22218.978779360055,18684418.75,481.25,140.32071554000004,480649145.0544
2021-04-15,63216.0,62978.6,63729.1,62067.5,76970.0,0.0037,1.3172522732558145,215.90390557821902,198514005.7096344,80172244.97007681,96035.0,71509209.0,27639.31700197966,18683856.25,562.5,155.28823581,1004822805.7968
2021-04-14,62980.4,63544.2,64778.0,61366.3,130430.0,-0.0088,1.2884584814814817,208.9713734525182,155272729.18854752,63141327.40279874,89351.0,71459756.0,31864.120280789863,18682668.75,1187.5,136.184935,932699539.664
2021-04-13,63540.9,59863.6,63659.0,59839.4,126560.0,0.061399999999999996,1.337717894366197,198.06313416127568,163323907.73906472,61441759.0375718,97410.0,71397185.0,20784.77315088981,18681893.75,775.0,101.8297542,533381831.045
2021-04-12,59863.8,59982.1,61259.9,59569.2,81880.0,-0.0019,1.345640743055556,204.7651025959055,165624244.46778402,59662203.17826638,93538.0,71341311.0,35733.09495904971,18680887.5,1006.25,91.77267732999996,315279095.9451
2021-04-11,59978.7,59772.4,60667.1,59250.3,58200.0,0.0039000000000000003,1.3770414137931035,229.70661798889924,166774412.8321436,58799840.65956245,77455.0,71278089.0,11320.930076969993,18680143.75,743.75,62.98652347,689236659.54
2021-04-10,59748.4,58127.4,61229.0,57900.0,103720.0,0.027999999999999997,1.3513014267515928,214.2953612756865,180576433.20445892,64092742.42249997,100029.0,71237794.0,20348.055821899976,18679081.25,1062.5,89.98797300999998,407439694.0436
2021-04-09,58118.7,58076.8,58890.9,57686.0,59220.0,0.0007000000000000001,1.3286036842105262,191.39385072190262,174825591.38266087,62936805.50828613,101122.0,71187139.0,15511.136555560004,18678250.0,831.25,116.38720157000004,475807458.1388999
2021-04-08,58077.4,55948.0,58136.7,55721.6,64780.0,0.038,1.3142138507462682,190.3721144943836,154122560.82418784,53025106.53857864,98582.0,71150921.0,19191.19505873985,18677181.25,1068.75,91.57954065,756167636.0843999
2021-04-07,55948.7,57996.3,58627.7,55489.3,110690.0,-0.0353,1.3041266496815291,192.02079365238532,180576433.20445892,61699929.39559078,99198.0,71102912.0,27275.045356759794,18676443.75,737.5,101.05042031999994,389087525.5784
2021-04-06,57996.3,59169.0,59487.0,57403.3,77150.0,-0.0169,1.3430273680555558,190.15636029239,165624244.46778402,58865753.67391371,94054.0,71057751.0,32328.772578939457,18675456.25,987.5,106.41402010000006,401549573.229
2021-04-05,58993.4,58202.3,59205.1,56842.7,54130.0,0.013600000000000001,1.4087214102564114,215.23608844679885,179426264.84009933,62213130.42119343,90485.0,71005161.0,13381.655092029943,18674437.5,1018.75,94.4570655,244447137.7075
2021-04-04,58199.9,57059.7,58464.8,56470.6,57210.0,0.02,1.3700521849315066,229.6745985999321,167924581.1965032,56501558.977773495,74736.0,70928655.0,13202.262628830094,18673475.0,962.5,67.19630150000003,350520423.44759995
2021-04-03,57059.9,58976.8,59770.5,56906.7,68740.0,-0.0325,1.3121621603053435,188.14831513145884,150672055.73110902,54056516.12378918,87996.0,70878134.0,13383.579562080158,18672575.0,900.0,83.93886825,484719745.7236
2021-04-02,58977.3,58718.2,60134.9,58466.5,72370.0,0.0044,1.314276628571429,187.19999758978332,160517766.38346806,57243512.86298466,103126.0,70808398.0,30068.97146244036,18671912.5,662.5,89.40831776999997,384195844.2432
2021-04-01,58718.3,58763.2,59406.5,58040.7,69040.0,-0.0008,1.3365909241379308,188.2505639183896,157606703.96998987,58722692.65813852,108335.0,70726014.0,46787.180413019196,18671037.5,875.0,89.99745266000002,716750367.2175
2021-03-31,58763.7,58771.4,59795.6,56991.6,98060.0,-0.0001,1.3453399490445856,191.43177293379097,170650017.40198898,63698731.01194602,109397.0,70654818.0,18491.24485460008,18669943.75,1093.75,102.46134312999996,505528990.7958
2021-03-30,58771.3,57614.6,59366.9,57077.1,86210.0,0.02,1.31233240410959,183.68305453258617,158693646.75598982,58978791.97986809,107294.0,70550972.0,34533.942068669785,18669068.75,875.0,96.60277671,778905384.4239
2021-03-29,57616.2,55764.7,58392.6,54951.1,107910.0,0.0332,1.2829920132450328,193.5637827680648,164128360.68598944,59732041.28817989,98567.0,70495864.0,37019.680496270084,18668187.5,881.25,80.75259219,354789416.1339
2021-03-28,55765.2,55856.9,56504.2,54711.3,58710.0,-0.0017000000000000001,1.3152392515723268,236.40721769378086,172823902.97398886,58772016.35476238,77349.0,70433591.0,12633.75365824989,18667306.25,881.25,58.00161989999996,417333164.9829
2021-03-27,55862.9,55033.8,56531.1,54010.2,73870.0,0.015,1.2981473333333329,203.6272281307244,172823902.97398886,59212965.29536148,96019.0,70388097.0,27448.47895536006,18666212.5,1093.75,66.63131525,654657557.7619001
2021-03-26,55036.1,51317.4,55074.1,51302.0,100300.0,0.0724,1.318635669117647,168.77504531729167,147824218.8959905,49554041.05561001,99511.0,70326546.0,50989.301070190566,18665112.5,1100.0,81.24149211999995,798490265.9184
2021-03-25,51322.3,52330.0,53175.4,50441.3,143350.0,-0.0192,1.3164960000000003,171.372876218228,167389189.04398918,55913485.57796882,99953.0,70289100.0,25004.98312380966,18664456.25,656.25,84.22598289000005,930278334.3463
2021-03-24,52325.4,54309.1,57169.4,51725.4,137910.0,-0.0391,1.3536179868421052,186.51729383851318,165215303.47198936,56905120.7290735,105838.0,70242502.0,23830.362326959665,18663350.0,1106.25,82.45079822999995,694554383.7493999
2021-03-23,54452.5,54117.5,55813.8,52992.3,84840.0,0.0054,1.3523681428571432,190.3569446267247,174997788.54598877,60904323.71943131,101337.0,70159079.0,31404.229683269965,18662475.0,875.0,81.33063817999997,818803864.2720001
2021-03-22,54158.3,57379.3,58379.9,53784.2,95530.0,-0.0562,1.3574443841059602,196.8349315052589,164128360.68598944,58540676.97897906,97819.0,70099359.0,15125.069753489895,18661368.75,1106.25,85.02318410000002,493777972.1541
