Date,Value
2021-03-03,27362.465268449683
2021-03-02,39096.93700973044
2021-03-01,19605.180078570243
2021-02-28,12734.131200869831
2021-02-27,16114.222957269963
2021-02-26,15771.154374210171
2021-02-25,51564.94269542946
2021-02-24,43242.787522179984
2021-02-23,28952.802225879786
2021-02-22,23512.604178820267
2021-02-21,15551.657015810166
2021-02-20,39000.08874734014
2021-02-19,26369.592590000244
2021-02-18,28525.308439809774
2021-02-17,23936.509208879903
2021-02-16,19763.293095060297
2021-02-15,21633.89452513002
2021-02-14,12969.560245099981
2021-02-13,15477.04973536981
2021-02-12,33022.471248049704
2021-02-11,43469.68254560009
2021-02-10,40792.00057639028
2021-02-09,50707.92747351957
2021-02-08,29086.68510039002
2021-02-07,14072.498724489938
2021-02-06,36940.14140252032
2021-02-05,25393.38424157982
2021-02-04,24228.548868350084
2021-02-03,32409.961269560015
2021-02-02,39544.889217899814
2021-02-01,37506.1271229902
2021-01-31,12275.737787650089
2021-01-30,34375.45930939046
2021-01-29,43476.976625830896
2021-01-28,36912.45756501973
2021-01-27,31579.075252009432
2021-01-26,22612.564613719947
2021-01-25,28592.79108012011
2021-01-24,30196.065725240464
2021-01-23,20807.670070999982
2021-01-22,44012.89543950957
2021-01-21,45584.04219126023
2021-01-20,23508.955089160245
2021-01-19,29753.1595949704
2021-01-18,32025.651410789244
2021-01-17,20309.83921184995
2021-01-16,25105.227156260098
2021-01-15,34280.886409660154
2021-01-14,38717.704321879486
2021-01-13,40238.82538741067
2021-01-12,30780.944956199986
2021-01-11,35252.223923269616
2021-01-10,23683.338813650094
2021-01-09,52775.661700289806
2021-01-08,60184.78354621022
2021-01-07,83286.1327106712
2021-01-06,65237.523843120274
2021-01-05,70851.50014211031
2021-01-04,39247.279862270014
2021-01-03,26720.06983746989
2021-01-02,35943.56109879937
2021-01-01,29741.665904349935
2020-12-31,53232.86917781015
2020-12-30,41082.00112488004
2020-12-29,50950.983842779846
2020-12-28,43692.040951569856
2020-12-27,30856.72009367981
2020-12-26,27614.377522039627
2020-12-25,21761.156379709715
2020-12-24,36988.37763533072
2020-12-23,40137.84249664
2020-12-22,47907.97674921022
2020-12-21,43789.6445078701
2020-12-20,24774.609267349977
2020-12-19,54046.25615582069
2020-12-18,78375.89319743836
2020-12-17,66148.08909629963
2020-12-16,43473.97451894983
2020-12-15,54727.922067119674
2020-12-14,47487.388208450095
2020-12-13,21585.59857078972
2020-12-12,24138.093838439632
2020-12-11,29222.782516069747
2020-12-10,42678.154337559885
2020-12-09,36632.89489113981
2020-12-08,32750.517259710094
2020-12-07,48323.91248409918
2020-12-06,48323.91248409918
2020-12-05,24525.904530030097
2020-12-04,24525.904530030097
2020-12-03,45351.30278676007
2020-12-02,41913.041027200336
2020-12-01,75283.78233578024
2020-11-30,71273.88775709929
2020-11-29,21183.725458860023
2020-11-28,27986.86596528
2020-11-27,44315.61807964003
2020-11-26,45125.72986057972
2020-11-25,66504.42016881937
2020-11-24,59175.80144649987
