Date,Value
2011-10-31,8.73436486
2011-10-30,9.99886150619
2011-10-29,8.68514247618028
2011-10-28,8.685142476180001
2011-10-27,7.44440783673
2011-10-26,7.955298570618909
2011-10-25,7.955298570619999
2011-10-24,9.4879707723
2011-10-23,7.663361008394361
2011-10-22,7.66336100839
2011-10-21,6.86053271228
2011-10-20,7.51739222728209
2011-10-19,7.51739222728
2011-10-18,9.63393955341
2011-10-17,8.24723613284346
2011-10-16,8.24723613284
2011-10-15,8.9770800384
2011-10-14,11.1689767433685
2011-10-13,11.1689767434
2011-10-12,7.64193145599
2011-10-11,8.901590487195962
2011-10-10,8.9015904872
2011-10-09,9.90931771216
2011-10-08,10.83306766838
2011-10-07,10.8330676684
2011-10-06,10.7490903996
2011-10-05,11.504885818357
2011-10-04,11.5048858184
2011-10-03,10.9170449371
2011-10-02,11.0010222058743
2011-10-01,11.0010222059
2011-09-30,11.4209085496
2011-09-29,11.2529540121156
2011-09-28,11.2529540121
2011-09-27,11.605934576400001
2011-09-26,11.954985240386
2011-09-25,11.9549852404
2011-09-24,12.3912985703
2011-09-23,11.6931972424213
2011-09-22,11.6931972424
2011-09-21,13.0893998982
2011-09-20,12.1295105723624
2011-09-19,12.129510572400001
2011-09-18,10.6460452506
2011-09-17,10.7333079165509
2011-09-16,10.7333079166
2011-09-15,10.9950959145
2011-09-14,13.263925230209301
2011-09-13,13.2639252302
2011-09-12,12.0188162424
2011-09-11,12.195563540053598
2011-09-10,12.1955635401
2011-09-09,12.6374317843
2011-09-08,11.046706105121
2011-09-07,11.0467061051
2011-09-06,12.990926379600001
2011-09-05,13.609541921509098
2011-09-04,13.609541921500002
2011-09-03,11.135079754000001
2011-09-02,14.3165311122368
2011-09-01,14.3165311122
2011-08-31,11.2234534028
2011-08-30,13.9130906928334
2011-08-29,13.913090692799999
2011-08-28,11.2202344297
2011-08-27,11.758805682330198
2011-08-26,11.7588056823
2011-08-25,13.8233288174
2011-08-24,11.758805682330198
2011-08-23,11.7588056823
2011-08-22,15.2595188244
2011-08-21,13.0154719384571
2011-08-20,13.0154719385
2011-08-19,13.0154719385
2011-08-18,14.1823763191464
2011-08-17,14.182376319100001
2011-08-16,11.5792819315
2011-08-15,13.4265697846223
2011-08-14,13.4265697846
2011-08-13,11.548727856700001
2011-08-12,12.8632172062465
2011-08-11,12.863217206199998
2011-08-10,12.6754330135
2011-08-09,12.487648820662699
2011-08-08,12.487648820699999
2011-08-07,12.1120804351
2011-08-06,11.642619953099
